start_station_name
"Serpentine Car Park, Hyde Park"
"Speakers' Corner 1, Hyde Park"
"Queen Street 2, Bank"
"Teviot Street, Poplar"
"Wandsworth Rd, Isley Court, Wandsworth Road"
"Gunmakers Lane, Old Ford"
"Wright's Lane, Kensington"
"Somerset House, Strand"
"Triangle Car Park, Hyde Park"
"Aquatic Centre, Queen Elizabeth Olympic Park"
"Farm Street, Mayfair"
"Wood Street, Guildhall"
"Southwark Station 2, Southwark"
"Broadwick Street, Soho"
"Park Lane , Hyde Park"
"Abbotsbury Road, Holland Park"
"Bromley High Street, Bow"
"Tower Gardens , Tower"
"Claverton Street, Pimlico"
"Waterloo Place, St. James's"
"Upper Richmond Road, Putney"
"St. John's Road, Clapham Junction"
"New Kent Road, Borough"
"Handyside Street, King's Cross"
"Prince Albert Road, The Regent's Park"
"North Audley Street, Mayfair"
"Frampton Street, Paddington"
"Green Park Station, Mayfair"
"London Zoo,  The Regent's Park"
"Queen's Gate, Kensington Gardens"
"Porchester Place, Paddington"
"Newby Place, Poplar"
"William IV Street, Strand"
"Elizabeth Bridge, Victoria"
"Bramham Gardens, Earl's Court"
"Fournier Street, Whitechapel"
"Park Road (Baker Street), The Regent's Park"
"Seville Street, Knightsbridge"
"Eaton Square, Belgravia"
"Little Argyll Street, West End"
"Knightsbridge, Hyde Park"
"Belford House, Haggerston"
"Leonard Circus , Shoreditch"
"Richmond Way, Shepherd's Bush"
"Vauxhall Cross, Vauxhall"
"Harrowby Street, Marylebone"
"Shoreditch High Street, Shoreditch"
"Austin Road, Battersea Park"
"Hyde Park Corner, Hyde Park"
"Bolsover Street, Fitzrovia"
"Canton Street, Poplar"
"Goldsmith's Row, Haggerston"
"Finsbury Circus, Liverpool Street"
"Paddington Green Police Station, Paddington"
"Tyers Gate, Bermondsey"
"Fulham Broadway, Walham Green"
"Dock Street, Wapping"
"The Tennis Courts, The Regent's Park"
"Usk Road, Battersea"
"Tanner Street, Bermondsey"
"Arlington Road, Camden Town"
"Wendon Street, Old Ford"
"Embankment (Savoy), Strand"
"Clerkenwell Green, Clerkenwell"
"Westminster Bridge Road, Elephant & Castle"
"Eagle Wharf Road, Hoxton"
"Rainville Road, Hammersmith"
"Storey's Gate, Westminster"
"Bishop's Bridge Road West, Bayswater"
"Beaumont Street, Marylebone"
"Flood Street, Chelsea"
"De Vere Gardens, Kensington"
"Albert Gate, Hyde Park"
"Exhibition Road, Knightsbridge"
"Roscoe Street, St. Luke's"
"Speakers' Corner 2, Hyde Park"
"Boston Place, Marylebone"
"Black Lion Gate, Kensington Gardens"
"Cadogan Gardens, Chelsea"
"Great Marlborough Street, Soho"
"Whiteley's, Bayswater"
"Belgrave Road, Victoria"
"Cartwright Gardens , Bloomsbury"
"Warwick Avenue Station, Maida Vale"
"Stonecutter Street, Holborn"
"New Globe Walk, Bankside"
"Parsons Green Station, Parsons Green"
"Aldersgate Street, Barbican"
"Crisp Road, Hammersmith"
"Walworth Road, Elephant & Castle"
"Buckingham Gate, Westminster"
"Vincent Street, Pimlico"
"Hammersmith Town Hall, Hammersmith"
"Golden Square, Soho"
"Brushfield Street, Liverpool Street"
"Whitehall Place, Strand"
"Plough Terrace, Clapham Junction"
"South Kensington Station, South Kensington"
"Chelsea Green, Chelsea"
"Graham Street, Angel"
"Dunston Road , Haggerston"
"Kennington Road Post Office, Oval"
"Moorfields, Moorgate"
"Lord's, St. John's Wood"
"Disraeli Road, Putney"
"All Saints Church, Portobello"
"Bonny Street, Camden Town"
"Tate Modern, Bankside"
"Marylebone Lane, Marylebone"
